# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
12.35            1.0688638E-57    1.0688638E-57    1.0688638E-57    1.0688638E-57    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.45            1.5655429E-56    1.5655429E-56    1.5655429E-56    1.5655429E-56    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.55            9.8365246E-56    9.8365246E-56    9.8365246E-56    9.8365246E-56    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.65            3.9771836E-55    3.9771836E-55    3.9771836E-55    3.9771836E-55    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.75            1.2262483E-54    1.2262483E-54    1.2262483E-54    1.2262483E-54    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.85            3.1462606E-54    3.1462606E-54    3.1462606E-54    3.1462606E-54    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
12.95            7.0688907E-54    7.0688907E-54    7.0688907E-54    7.0688907E-54    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.05            1.4364339E-53    1.4364339E-53    1.4364339E-53    1.4364339E-53    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.15            2.6981378E-53    2.6981378E-53    2.6981378E-53    2.6981378E-53    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.25            4.7574423E-53    4.7574423E-53    4.7574423E-53    4.7574423E-53    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.35            7.9636650E-53    7.9636650E-53    7.9636650E-53    7.9636650E-53    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.45            1.2763778E-52    1.2763778E-52    1.2763778E-52    1.2763778E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.55            1.9716535E-52    1.9716535E-52    1.9716535E-52    1.9716535E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.65            2.9506833E-52    2.9506833E-52    2.9506833E-52    2.9506833E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.75            4.2960222E-52    4.2960222E-52    4.2960222E-52    4.2960222E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
