# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
10.35            3.3870825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    7.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.45            3.4384425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.55            3.4901425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.65            3.5421825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.75            3.5945625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.85            3.6472825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
10.95            3.7003425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.05            3.7537425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.15            3.8074825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.25            3.8615625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.35            3.9159825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    8.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.45            3.9707425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.0070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.55            4.0258425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.1070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.65            4.0812825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.2070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.75            4.1370625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.3070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.85            4.1931825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.4070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
11.95            4.2496425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.5070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.05            4.3064425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.6070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.15            4.3635825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.7070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.25            4.4210625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.8070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.35            4.4788825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    9.9070000E+00    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.45            4.5370425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0007000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.55            4.5955425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0107000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.65            4.6543825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0207000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.75            4.7135625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0307000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.85            4.7730825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0407000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
12.95            4.8329425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0507000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.05            4.8931425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0607000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.15            4.9536825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0707000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.25            5.0145625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0807000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.35            5.0757825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.0907000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.45            5.1373425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1007000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.55            5.1992425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1107000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.65            5.2614825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1207000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.75            5.3240625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1307000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.85            5.3869825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1407000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
13.95            5.4502425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1507000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.05            5.5138425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1607000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.15            5.5777825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1707000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.25            5.6420625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1807000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.35            5.7066825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.1907000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.45            5.7716425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2007000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.55            5.8369425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2107000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.65            5.9025825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2207000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.75            5.9685625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2307000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.85            6.0348825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2407000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
14.95            6.1015425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2507000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.05            6.1685425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2607000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.15            6.2358825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2707000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.25            6.3035625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2807000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.35            6.3715825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.2907000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.45            6.4399425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3007000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.55            6.5086425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3107000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.65            6.5776825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3207000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.75            6.6470625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3307000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.85            6.7167825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3407000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
15.95            6.7868425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3507000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.05            6.8572425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3607000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
