# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
10.25            8.2331222E-47    3.4805235E-47    1.3803835E-47    1.1949095E-47    3.8190916E-46    9.7059162E-47    5.9036776E-47    4.7920275E-47    
10.35            8.3159218E-47    3.5152440E-47    1.3938975E-47    1.2065471E-47    3.8983473E-46    9.9104097E-47    6.0242012E-47    4.8896014E-47    
10.45            8.3987228E-47    3.5499652E-47    1.4074113E-47    1.2181846E-47    3.9784184E-46    1.0117041E-46    6.1459421E-47    4.9881579E-47    
10.55            8.4815252E-47    3.5846870E-47    1.4209251E-47    1.2298220E-47    4.0593047E-46    1.0325811E-46    6.2689004E-47    5.0876970E-47    
10.65            8.5643289E-47    3.6194093E-47    1.4344388E-47    1.2414593E-47    4.1410063E-46    1.0536718E-46    6.3930760E-47    5.1882187E-47    
10.75            8.6471340E-47    3.6541322E-47    1.4479524E-47    1.2530964E-47    4.2235232E-46    1.0749764E-46    6.5184690E-47    5.2897231E-47    
10.85            8.7299403E-47    3.6888556E-47    1.4614659E-47    1.2647335E-47    4.3068554E-46    1.0964948E-46    6.6450792E-47    5.3922100E-47    
10.95            8.8127478E-47    3.7235796E-47    1.4749794E-47    1.2763705E-47    4.3910029E-46    1.1182270E-46    6.7729069E-47    5.4956796E-47    
11.05            8.8955565E-47    3.7583040E-47    1.4884928E-47    1.2880074E-47    4.4759657E-46    1.1401729E-46    6.9019518E-47    5.6001317E-47    
11.15            8.9783664E-47    3.7930290E-47    1.5020061E-47    1.2996441E-47    4.5617438E-46    1.1623328E-46    7.0322141E-47    5.7055665E-47    
11.25            9.0611775E-47    3.8277545E-47    1.5155194E-47    1.3112808E-47    4.6483371E-46    1.1847064E-46    7.1636938E-47    5.8119838E-47    
11.35            9.1439896E-47    3.8624804E-47    1.5290326E-47    1.3229174E-47    4.7357458E-46    1.2072938E-46    7.2963907E-47    5.9193838E-47    
11.45            9.2268028E-47    3.8972068E-47    1.5425458E-47    1.3345540E-47    4.8239698E-46    1.2300951E-46    7.4303050E-47    6.0277663E-47    
11.55            9.3096171E-47    3.9319336E-47    1.5560588E-47    1.3461904E-47    4.9130091E-46    1.2531101E-46    7.5654367E-47    6.1371315E-47    
11.65            9.3924324E-47    3.9666609E-47    1.5695719E-47    1.3578267E-47    5.0028637E-46    1.2763390E-46    7.7017856E-47    6.2474792E-47    
11.75            9.4752486E-47    4.0013886E-47    1.5830848E-47    1.3694630E-47    5.0935336E-46    1.2997817E-46    7.8393519E-47    6.3588095E-47    
11.85            9.5580659E-47    4.0361167E-47    1.5965978E-47    1.3810992E-47    5.1850188E-46    1.3234382E-46    7.9781356E-47    6.4711225E-47    
11.95            9.6408841E-47    4.0708453E-47    1.6101106E-47    1.3927353E-47    5.2773194E-46    1.3473086E-46    8.1181365E-47    6.5844180E-47    
12.05            9.7237033E-47    4.1055742E-47    1.6236234E-47    1.4043714E-47    5.3704352E-46    1.3713927E-46    8.2593548E-47    6.6986961E-47    
12.15            9.8065233E-47    4.1403035E-47    1.6371362E-47    1.4160074E-47    5.4643664E-46    1.3956907E-46    8.4017904E-47    6.8139568E-47    
12.25            9.8893442E-47    4.1750332E-47    1.6506489E-47    1.4276433E-47    5.5591129E-46    1.4202026E-46    8.5454433E-47    6.9302001E-47    
12.35            9.9721660E-47    4.2097633E-47    1.6641616E-47    1.4392791E-47    5.6546747E-46    1.4449282E-46    8.6903136E-47    7.0474260E-47    
12.45            1.0054989E-46    4.2444938E-47    1.6776742E-47    1.4509149E-47    5.7510518E-46    1.4698677E-46    8.8364012E-47    7.1656344E-47    
12.55            1.0137812E-46    4.2792245E-47    1.6911867E-47    1.4625506E-47    5.8482443E-46    1.4950210E-46    8.9837061E-47    7.2848255E-47    
12.65            1.0220636E-46    4.3139557E-47    1.7046992E-47    1.4741862E-47    5.9462521E-46    1.5203881E-46    9.1322283E-47    7.4049991E-47    
