# 4, 1000
# Nu Energy [MeV] Probability [ ]  
# t               nu_e            nu_e_bar        nu_x            nu_x_bar         
20.1500           8.3821360E-02   1.8346767E-04   1.0848000E+00   1.1626543E+00 
20.2500           1.1641451E-01   -5.3862272E-04   1.1250126E+00   1.1642465E+00 
20.3500           1.4073349E-01   6.5010513E-03   1.1639637E+00   1.1683380E+00 
20.4500           1.5210203E-01   1.8420447E-02   1.1959724E+00   1.1723645E+00 
20.5500           1.4856449E-01   3.1185968E-02   1.2177453E+00   1.1729026E+00 
20.6500           1.3118328E-01   4.0803587E-02   1.2287740E+00   1.1668064E+00 
20.7500           1.0360006E-01   4.4406814E-02   1.2310037E+00   1.1522305E+00 
20.8500           7.1037185E-02   4.0968475E-02   1.2279411E+00   1.1292717E+00 
20.9500           3.9033419E-02   3.1488226E-02   1.2234901E+00   1.1000853E+00 
21.0500           1.2238781E-02   1.8654305E-02   1.2208347E+00   1.0684798E+00 
21.1500           -6.4579892E-03   6.1069133E-03   1.2216385E+00   1.0391199E+00 
21.2500           -1.6305457E-02   -2.4868631E-03   1.2257226E+00   1.0165507E+00 
21.3500           -1.8538820E-02   -4.3137108E-03   1.2312498E+00   1.0042789E+00 
21.4500           -1.5795945E-02   1.9487967E-03   1.2353223E+00   1.0041094E+00 
21.5500           -1.1280186E-02   1.5862758E-02   1.2348145E+00   1.0158628E+00 
21.6500           -7.8856527E-03   3.5358557E-02   1.2272251E+00   1.0375038E+00 
21.7500           -7.4843152E-03   5.7202610E-02   1.2113540E+00   1.0656199E+00 
21.8500           -1.0516946E-02   7.7679164E-02   1.1876640E+00   1.0961236E+00 
21.9500           -1.5949356E-02   9.3329042E-02   1.1582689E+00   1.1250201E+00 
22.0500           -2.1571633E-02   1.0159236E-01   1.1265741E+00   1.1490840E+00 
22.1500           -2.4549014E-02   1.0123686E-01   1.0966650E+00   1.1663261E+00 
22.2500           -2.2090505E-02   9.2507563E-02   1.0725780E+00   1.1761820E+00 
22.3500           -1.2090512E-02   7.6993786E-02   1.0576046E+00   1.1794187E+00 
22.4500           6.3825975E-03   5.7263259E-02   1.0537532E+00   1.1778051E+00 
22.5500           3.2836308E-02   3.6351437E-02   1.0614588E+00   1.1736346E+00 
22.6500           6.5375097E-02   1.7211231E-02   1.0795722E+00   1.1692033E+00 
22.7500           1.0097323E-01   2.2245433E-03   1.1056114E+00   1.1663443E+00 
22.8500           1.3593611E-01   -7.1446953E-03   1.1362109E+00   1.1660970E+00 
22.9500           1.6645959E-01   -1.0509395E-02   1.1676785E+00   1.1685591E+00 
23.0500           1.8918781E-01   -8.5208386E-03   1.1965600E+00   1.1729293E+00 
23.1500           2.0167921E-01   -2.6581127E-03   1.2201195E+00   1.1777158E+00 
23.2500           2.0271327E-01   5.1031303E-03   1.2366667E+00   1.1810611E+00 
23.3500           1.9240250E-01   1.2676547E-02   1.2456958E+00   1.1811168E+00 
23.4500           1.7210750E-01   1.8237483E-02   1.2478304E+00   1.1764001E+00 
23.5500           1.4418402E-01   2.0522831E-02   1.2446029E+00   1.1660767E+00 
23.6500           1.1161278E-01   1.9016758E-02   1.2381179E+00   1.1501261E+00 
23.7500           7.7575956E-02   1.4002625E-02   1.2306623E+00   1.1293729E+00 
23.8500           4.5044952E-02   6.4839201E-03   1.2243241E+00   1.1053865E+00 
23.9500           1.6436307E-02   -2.0034483E-03   1.2206783E+00   1.0802734E+00 
24.0500           -6.6232437E-03   -9.6510587E-03   1.2205773E+00   1.0563971E+00 
24.1500           -2.3401090E-02   -1.4666495E-02   1.2240690E+00   1.0360733E+00 
24.2500           -3.4031431E-02   -1.5546735E-02   1.2304421E+00   1.0212801E+00 
24.3500           -3.9373541E-02   -1.1298756E-02   1.2383802E+00   1.0134255E+00 
24.4500           -4.0786581E-02   -1.5803720E-03   1.2461963E+00   1.0131964E+00 
24.5500           -3.9859964E-02   1.3252454E-02   1.2521060E+00   1.0205040E+00 
24.6500           -3.8140102E-02   3.2191902E-02   1.2545001E+00   1.0345263E+00 
24.7500           -3.6890662E-02   5.3706016E-02   1.2521806E+00   1.0538341E+00 
24.8500           -3.6915277E-02   7.5926257E-02   1.2445295E+00   1.0765797E+00 
24.9500           -3.8460671E-02   9.6867677E-02   1.2315951E+00   1.1007206E+00 
25.0500           -4.1206105E-02   1.1465277E-01   1.2140887E+00   1.1242488E+00 
25.1500           -4.4333560E-02   1.2771221E-01   1.1932998E+00   1.1453988E+00 
25.2500           -4.6663521E-02   1.3494062E-01   1.1709429E+00   1.1628121E+00 
25.3500           -4.6834487E-02   1.3579305E-01   1.1489612E+00   1.1756433E+00 
25.4500           -4.3501008E-02   1.3031536E-01   1.1293108E+00   1.1836006E+00 
25.5500           -3.5524935E-02   1.1911045E-01   1.1137522E+00   1.1869230E+00 
25.6500           -2.2137515E-02   1.0324862E-01   1.1036715E+00   1.1863010E+00 
25.7500           -3.0551059E-03   8.4136267E-02   1.0999494E+00   1.1827563E+00 
25.8500           2.1462131E-02   6.3359750E-02   1.1028887E+00   1.1774948E+00 
25.9500           5.0612074E-02   4.2522932E-02   1.1122035E+00   1.1717539E+00 
26.0500           8.3109731E-02   2.3095373E-02   1.1270683E+00   1.1666589E+00 
26.1500           1.1729448E-01   6.2857497E-03   1.1462164E+00   1.1631032E+00 
26.2500           1.5127212E-01   -7.0489597E-03   1.1680760E+00   1.1616639E+00 
26.3500           1.8307577E-01   -1.6452576E-02   1.1909264E+00   1.1625576E+00 
26.4500           2.1082916E-01   -2.1875855E-02   1.2130596E+00   1.1656376E+00 
26.5500           2.3289678E-01   -2.3642757E-02   1.2329297E+00   1.1704300E+00 
26.6500           2.4800779E-01   -2.2383553E-02   1.2492783E+00   1.1762020E+00 
26.7500           2.5534419E-01   -1.8944005E-02   1.2612260E+00   1.1820527E+00 
26.8500           2.5458765E-01   -1.4281298E-02   1.2683235E+00   1.1870160E+00 
26.9500           2.4592372E-01   -9.3576535E-03   1.2705618E+00   1.1901650E+00 
27.0500           2.3000583E-01   -5.0417425E-03   1.2683429E+00   1.1907081E+00 
27.1500           2.0788499E-01   -2.0264173E-03   1.2624171E+00   1.1880676E+00 
27.2500           1.8091339E-01   -7.6899693E-04   1.2537949E+00   1.1819352E+00 
27.3500           1.5063177E-01   -1.4577807E-03   1.2436427E+00   1.1723010E+00 
27.4500           1.1865075E-01   -4.0058138E-03   1.2331731E+00   1.1594553E+00 
27.5500           8.6536005E-02   -8.0704545E-03   1.2235388E+00   1.1439631E+00 
27.6500           5.5706106E-02   -1.3095193E-02   1.2157387E+00   1.1266178E+00 
27.7500           2.7349741E-02   -1.8368576E-02   1.2105435E+00   1.1083772E+00 
27.8500           2.3672033E-03   -2.3094082E-02   1.2084450E+00   1.0902879E+00 
27.9500           -1.8661522E-02   -2.6464404E-02   1.2096308E+00   1.0734071E+00 
28.0500           -3.5481954E-02   -2.7733734E-02   1.2139860E+00   1.0587252E+00 
28.1500           -4.8145542E-02   -2.6282367E-02   1.2211180E+00   1.0470972E+00 
28.2500           -5.6969013E-02   -2.1668937E-02   1.2304022E+00   1.0391869E+00 
28.3500           -6.2477559E-02   -1.3666977E-02   1.2410426E+00   1.0354270E+00 
28.4500           -6.5337564E-02   -2.2839019E-03   1.2521424E+00   1.0359969E+00 
28.5500           -6.6284828E-02   1.2237979E-02   1.2627777E+00   1.0408199E+00 
28.6500           -6.6054021E-02   2.9437496E-02   1.2720693E+00   1.0495772E+00 
28.7500           -6.5314513E-02   4.8665568E-02   1.2792482E+00   1.0617374E+00 
28.8500           -6.4616788E-02   6.9128066E-02   1.2837080E+00   1.0765987E+00 
28.9500           -6.4352526E-02   8.9936950E-02   1.2850447E+00   1.0933396E+00 
29.0500           -6.4730194E-02   1.1016575E-01   1.2830790E+00   1.1110743E+00 
29.1500           -6.5766741E-02   1.2890548E-01   1.2778630E+00   1.1289094E+00 
29.2500           -6.7294797E-02   1.4531727E-01   1.2696698E+00   1.1459971E+00 
29.3500           -6.8983793E-02   1.5867862E-01   1.2589697E+00   1.1615827E+00 
29.4500           -7.0372566E-02   1.6842065E-01   1.2463941E+00   1.1750436E+00 
29.5500           -7.0910439E-02   1.7415471E-01   1.2326906E+00   1.1859172E+00 
29.6500           -7.0003473E-02   1.7568725E-01   1.2186728E+00   1.1939178E+00 
29.7500           -6.7062436E-02   1.7302294E-01   1.2051688E+00   1.1989421E+00 
29.8500           -6.1549256E-02   1.6635644E-01   1.1929697E+00   1.2010628E+00 
29.9500           -5.3019002E-02   1.5605419E-01   1.1827846E+00   1.2005132E+00 
30.0500           -4.1154962E-02   1.4262786E-01   1.1752006E+00   1.1976621E+00 
30.1500           -2.5794975E-02   1.2670141E-01   1.1706532E+00   1.1929843E+00 
30.2500           -6.9478378E-03   1.0897424E-01   1.1694055E+00   1.1870250E+00 
30.3500           1.5200735E-02   9.0182576E-02   1.1715395E+00   1.1803642E+00 
30.4500           4.0292446E-02   7.1061345E-02   1.1769563E+00   1.1735803E+00 
30.5500           6.7810334E-02   5.2308648E-02   1.1853877E+00   1.1672167E+00 
30.6500           9.7101069E-02   3.4554445E-02   1.1964153E+00   1.1617524E+00 
30.7500           1.2740401E-01   1.8334874E-02   1.2094974E+00   1.1575783E+00 
30.8500           1.5788520E-01   4.0731122E-03   1.2240006E+00   1.1549792E+00 
30.9500           1.8767424E-01   -7.9326858E-03   1.2392353E+00   1.1541233E+00 
